alarm_id,plant_id,equipment_id,alarm_timestamp,alarm_code,alarm_short_name,alarm_description,severity,duration_minutes,resolved_timestamp,operator_id
ALM000025,PLT001,GEN001,2024-12-22 23:01:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,192,2024-12-23 02:13:00,OPR008
ALM000026,PLT001,TRB001,2024-03-07 01:32:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,15,2024-03-07 01:47:00,OPR011
ALM000027,PLT001,TRB002,2024-02-28 20:06:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,458,2024-02-29 03:44:00,OPR001
ALM000028,PLT003,TRB004,2024-07-04 16:59:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,261,2024-07-04 21:20:00,OPR007
ALM000029,PLT001,GEN001,2024-01-01 04:41:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,3,2024-01-01 04:44:00,OPR006
ALM000030,PLT001,TRB002,2024-03-04 03:39:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,279,2024-03-04 08:18:00,OPR009
ALM000031,PLT003,GEN004,2024-07-21 02:31:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,73,2024-07-21 03:44:00,OPR009
ALM000032,PLT002,GEN003,2024-03-06 22:24:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,63,2024-03-06 23:27:00,OPR003
ALM000033,PLT003,TRB004,2024-10-24 15:56:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,209,2024-10-24 19:25:00,OPR001
ALM000034,PLT003,TRB004,2024-08-18 03:34:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,445,2024-08-18 10:59:00,OPR012
ALM000035,PLT002,TRB003,2024-01-06 01:32:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,344,2024-01-06 07:16:00,OPR005
ALM000036,PLT005,GEN006,2024-06-24 08:02:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,443,2024-06-24 15:25:00,OPR001
ALM000037,PLT002,GEN003,2024-12-05 23:35:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,262,2024-12-06 03:57:00,OPR011
ALM000038,PLT005,TRB006,2024-06-10 15:24:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,429,2024-06-10 22:33:00,OPR005
ALM000039,PLT005,GEN006,2024-09-15 21:37:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,472,2024-09-16 05:29:00,OPR008
ALM000040,PLT005,TRB006,2024-12-24 21:46:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,10,2024-12-24 21:56:00,OPR011
ALM000041,PLT001,TRB001,2024-11-29 22:46:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,2,2024-11-29 22:48:00,OPR007
ALM000042,PLT003,GEN004,2024-07-20 21:40:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,4,2024-07-20 21:44:00,OPR003
ALM000043,PLT004,GEN005,2024-12-07 22:47:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,43,2024-12-07 23:30:00,OPR009
ALM000044,PLT005,TRB006,2024-09-14 20:55:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,398,2024-09-15 03:33:00,OPR008
ALM000045,PLT004,TRB005,2024-07-08 16:40:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,157,2024-07-08 19:17:00,OPR009
ALM000046,PLT003,TRB004,2024-08-08 05:59:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,7,2024-08-08 06:06:00,OPR004
ALM000047,PLT003,GEN004,2024-05-31 22:32:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,390,2024-06-01 05:02:00,OPR005
ALM000048,PLT003,TRB004,2024-01-16 11:17:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,404,2024-01-16 18:01:00,OPR002
ALM000049,PLT004,TRB005,2024-03-02 08:11:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,60,2024-03-02 09:11:00,OPR011
ALM000050,PLT003,GEN004,2024-12-01 07:51:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,267,2024-12-01 12:18:00,OPR001
ALM000051,PLT002,TRB003,2024-01-26 10:21:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,155,2024-01-26 12:56:00,OPR005
ALM000052,PLT001,TRB002,2024-05-31 02:57:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,478,2024-05-31 10:55:00,OPR003
ALM000053,PLT003,TRB004,2024-01-04 23:21:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,272,2024-01-05 03:53:00,OPR010
ALM000054,PLT002,TRB003,2024-11-08 00:41:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,135,2024-11-08 02:56:00,OPR011
ALM000055,PLT002,GEN003,2024-02-19 21:47:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,4,2024-02-19 21:51:00,OPR007
ALM000056,PLT004,GEN005,2024-06-06 20:57:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,269,2024-06-07 01:26:00,OPR006
ALM000057,PLT002,GEN003,2024-11-07 10:55:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,264,2024-11-07 15:19:00,OPR001
ALM000058,PLT002,TRB003,2024-01-14 03:14:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,381,2024-01-14 09:35:00,OPR003
ALM000059,PLT004,GEN005,2024-07-07 18:51:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,209,2024-07-07 22:20:00,OPR006
ALM000060,PLT002,TRB003,2024-08-31 15:55:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,370,2024-08-31 22:05:00,OPR009
ALM000061,PLT001,TRB001,2024-09-13 03:55:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,30,2024-09-13 04:25:00,OPR006
ALM000062,PLT005,TRB006,2024-05-05 01:24:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,161,2024-05-05 04:05:00,OPR012
ALM000063,PLT001,GEN002,2024-12-07 00:10:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,384,2024-12-07 06:34:00,OPR002
ALM000064,PLT003,TRB004,2024-08-27 16:57:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,98,2024-08-27 18:35:00,OPR005
ALM000065,PLT001,TRB001,2024-08-24 14:42:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,70,2024-08-24 15:52:00,OPR006
ALM000066,PLT001,TRB002,2024-01-24 18:34:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,479,2024-01-25 02:33:00,OPR006
ALM000067,PLT005,TRB006,2024-11-20 13:44:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,2,2024-11-20 13:46:00,OPR009
ALM000068,PLT003,TRB004,2024-11-13 02:15:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,193,2024-11-13 05:28:00,OPR004
ALM000069,PLT005,GEN006,2024-12-16 20:57:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,62,2024-12-16 21:59:00,OPR009
ALM000070,PLT004,TRB005,2024-05-19 05:38:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,101,2024-05-19 07:19:00,OPR004
ALM000071,PLT001,GEN002,2024-08-09 02:12:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,223,2024-08-09 05:55:00,OPR004
ALM000072,PLT001,TRB001,2024-10-30 12:41:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,313,2024-10-30 17:54:00,OPR006
ALM000073,PLT003,GEN004,2024-08-22 17:03:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,281,2024-08-22 21:44:00,OPR009
ALM000074,PLT003,GEN004,2024-07-20 07:16:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,65,2024-07-20 08:21:00,OPR012
ALM000075,PLT004,TRB005,2024-04-24 03:57:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,220,2024-04-24 07:37:00,OPR005
ALM000076,PLT001,TRB002,2024-08-18 07:36:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,113,2024-08-18 09:29:00,OPR001
ALM000077,PLT003,GEN004,2024-05-22 03:43:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,66,2024-05-22 04:49:00,OPR010
ALM000078,PLT005,GEN006,2024-12-04 22:15:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,245,2024-12-05 02:20:00,OPR008
ALM000079,PLT005,TRB006,2024-05-12 04:20:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,402,2024-05-12 11:02:00,OPR004
ALM000080,PLT001,GEN002,2024-03-07 15:29:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,465,2024-03-07 23:14:00,OPR008
ALM000081,PLT002,TRB003,2024-12-07 16:35:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,337,2024-12-07 22:12:00,OPR008
ALM000082,PLT002,GEN003,2024-07-17 10:00:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,26,2024-07-17 10:26:00,OPR011
ALM000083,PLT002,TRB003,2024-04-16 11:55:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,147,2024-04-16 14:22:00,OPR009
ALM000084,PLT002,GEN003,2024-03-21 10:14:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,10,2024-03-21 10:24:00,OPR007
ALM000085,PLT004,TRB005,2024-03-16 06:37:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,170,2024-03-16 09:27:00,OPR004
ALM000086,PLT001,TRB002,2024-06-23 10:36:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,180,2024-06-23 13:36:00,OPR003
ALM000087,PLT002,TRB003,2024-02-24 10:38:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,364,2024-02-24 16:42:00,OPR011
ALM000088,PLT001,TRB001,2024-12-22 02:34:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,375,2024-12-22 08:49:00,OPR006
ALM000089,PLT001,GEN002,2024-03-05 05:32:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,53,2024-03-05 06:25:00,OPR001
ALM000090,PLT005,TRB006,2024-01-05 16:38:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,288,2024-01-05 21:26:00,OPR006
ALM000091,PLT001,TRB001,2024-04-22 16:35:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,429,2024-04-22 23:44:00,OPR011
ALM000092,PLT005,TRB006,2024-04-23 04:57:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,18,2024-04-23 05:15:00,OPR004
ALM000093,PLT004,TRB005,2024-01-15 06:14:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,8,2024-01-15 06:22:00,OPR005
ALM000094,PLT005,GEN006,2024-03-27 12:37:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,423,2024-03-27 19:40:00,OPR001
ALM000095,PLT004,TRB005,2024-08-28 19:15:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,357,2024-08-29 01:12:00,OPR005
ALM000096,PLT003,GEN004,2024-11-06 00:40:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,10,2024-11-06 00:50:00,OPR002
ALM000097,PLT001,TRB002,2024-02-10 18:48:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,125,2024-02-10 20:53:00,OPR008
ALM000098,PLT005,TRB006,2024-05-17 12:00:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,4,2024-05-17 12:04:00,OPR008
ALM000099,PLT005,TRB006,2024-10-27 05:13:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,171,2024-10-27 08:04:00,OPR010
ALM000100,PLT002,TRB003,2024-09-05 06:42:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,407,2024-09-05 13:29:00,OPR001
ALM000101,PLT003,GEN004,2024-06-17 10:49:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,25,2024-06-17 11:14:00,OPR002
ALM000102,PLT003,GEN004,2024-01-02 03:06:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,462,2024-01-02 10:48:00,OPR002
ALM000103,PLT004,GEN005,2024-06-25 03:08:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,353,2024-06-25 09:01:00,OPR002
ALM000104,PLT001,GEN002,2024-05-05 10:12:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,183,2024-05-05 13:15:00,OPR011
ALM000105,PLT003,TRB004,2024-08-06 11:42:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,109,2024-08-06 13:31:00,OPR008
ALM000106,PLT003,GEN004,2024-11-06 03:08:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,327,2024-11-06 08:35:00,OPR009
ALM000107,PLT002,GEN003,2024-04-03 09:36:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,43,2024-04-03 10:19:00,OPR005
ALM000108,PLT005,GEN006,2024-02-28 16:39:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,5,2024-02-28 16:44:00,OPR007
ALM000109,PLT003,GEN004,2024-08-13 07:52:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,318,2024-08-13 13:10:00,OPR009
ALM000110,PLT005,TRB006,2024-02-12 13:07:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,93,2024-02-12 14:40:00,OPR008
ALM000111,PLT005,TRB006,2024-04-02 12:08:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,469,2024-04-02 19:57:00,OPR009
ALM000112,PLT001,TRB001,2024-01-11 14:07:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,217,2024-01-11 17:44:00,OPR009
ALM000113,PLT005,TRB006,2024-03-15 03:57:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,251,2024-03-15 08:08:00,OPR002
ALM000114,PLT001,GEN001,2024-08-25 10:13:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,1,2024-08-25 10:14:00,OPR002
ALM000115,PLT003,GEN004,2024-06-18 11:28:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,379,2024-06-18 17:47:00,OPR001
ALM000116,PLT001,GEN001,2024-12-03 00:09:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,394,2024-12-03 06:43:00,OPR008
ALM000117,PLT004,GEN005,2024-12-09 16:08:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,142,2024-12-09 18:30:00,OPR005
ALM000118,PLT001,GEN001,2024-09-29 07:08:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,131,2024-09-29 09:19:00,OPR003
ALM000119,PLT001,TRB001,2024-05-16 02:02:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,477,2024-05-16 09:59:00,OPR009
ALM000120,PLT003,TRB004,2024-11-06 22:26:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,244,2024-11-07 02:30:00,OPR007
ALM000121,PLT003,TRB004,2024-05-07 23:14:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,12,2024-05-07 23:26:00,OPR004
ALM000122,PLT001,TRB002,2024-07-01 13:52:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,94,2024-07-01 15:26:00,OPR002
ALM000123,PLT002,GEN003,2024-02-12 23:44:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,161,2024-02-13 02:25:00,OPR001
ALM000124,PLT003,GEN004,2024-08-10 21:49:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,67,2024-08-10 22:56:00,OPR012
ALM000125,PLT005,GEN006,2024-03-18 19:04:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,209,2024-03-18 22:33:00,OPR002
ALM000126,PLT004,TRB005,2024-10-21 13:05:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,237,2024-10-21 17:02:00,OPR005
ALM000127,PLT004,GEN005,2024-11-16 22:53:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,259,2024-11-17 03:12:00,OPR003
ALM000128,PLT001,GEN002,2024-12-28 04:03:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,257,2024-12-28 08:20:00,OPR006
ALM000129,PLT004,TRB005,2024-11-17 12:17:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,274,2024-11-17 16:51:00,OPR011
ALM000130,PLT002,GEN003,2024-06-11 06:48:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,32,2024-06-11 07:20:00,OPR004
ALM000131,PLT004,GEN005,2024-12-13 03:31:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,144,2024-12-13 05:55:00,OPR009
ALM000132,PLT001,GEN002,2024-05-09 07:06:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,407,2024-05-09 13:53:00,OPR003
ALM000133,PLT001,TRB002,2024-03-18 11:36:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,437,2024-03-18 18:53:00,OPR007
ALM000134,PLT004,TRB005,2024-12-06 15:20:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,446,2024-12-06 22:46:00,OPR004
ALM000135,PLT001,GEN002,2024-12-22 02:52:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,219,2024-12-22 06:31:00,OPR011
ALM000136,PLT003,GEN004,2024-07-11 00:53:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,312,2024-07-11 06:05:00,OPR002
ALM000137,PLT003,GEN004,2024-05-21 03:23:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,234,2024-05-21 07:17:00,OPR010
ALM000138,PLT004,TRB005,2024-03-18 17:59:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,95,2024-03-18 19:34:00,OPR004
ALM000139,PLT003,TRB004,2024-01-31 19:28:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,271,2024-01-31 23:59:00,OPR009
ALM000140,PLT004,TRB005,2024-05-07 21:20:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,437,2024-05-08 04:37:00,OPR004
ALM000141,PLT003,TRB004,2024-03-02 07:57:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,331,2024-03-02 13:28:00,OPR003
ALM000142,PLT005,GEN006,2024-12-21 18:42:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,463,2024-12-22 02:25:00,OPR008
ALM000143,PLT002,TRB003,2024-10-17 17:40:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,303,2024-10-17 22:43:00,OPR007
ALM000144,PLT001,TRB002,2024-09-10 11:34:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,193,2024-09-10 14:47:00,OPR010
ALM000145,PLT005,TRB006,2024-05-13 07:09:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,379,2024-05-13 13:28:00,OPR009
ALM000146,PLT001,TRB001,2024-12-11 00:39:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,146,2024-12-11 03:05:00,OPR006
ALM000147,PLT001,GEN002,2024-10-30 00:44:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,57,2024-10-30 01:41:00,OPR008
ALM000148,PLT001,GEN001,2024-09-14 18:16:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,291,2024-09-14 23:07:00,OPR012
ALM000149,PLT003,TRB004,2024-05-07 21:59:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,431,2024-05-08 05:10:00,OPR007
ALM000150,PLT002,TRB003,2024-12-09 00:28:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,14,2024-12-09 00:42:00,OPR007
ALM000151,PLT005,TRB006,2024-04-26 14:18:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,12,2024-04-26 14:30:00,OPR001
ALM000152,PLT004,GEN005,2024-05-08 13:23:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,13,2024-05-08 13:36:00,OPR003
ALM000153,PLT001,GEN001,2024-03-15 09:34:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,315,2024-03-15 14:49:00,OPR006
ALM000154,PLT004,GEN005,2024-05-23 13:18:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,111,2024-05-23 15:09:00,OPR010
ALM000155,PLT005,GEN006,2024-01-03 23:28:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,475,2024-01-04 07:23:00,OPR001
ALM000156,PLT001,GEN001,2024-07-28 13:03:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,12,2024-07-28 13:15:00,OPR012
ALM000157,PLT003,TRB004,2024-12-24 13:47:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,54,2024-12-24 14:41:00,OPR003
ALM000158,PLT003,GEN004,2024-04-10 00:21:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,84,2024-04-10 01:45:00,OPR001
ALM000159,PLT004,GEN005,2024-10-15 02:39:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,333,2024-10-15 08:12:00,OPR002
ALM000160,PLT004,TRB005,2024-08-09 18:14:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,6,2024-08-09 18:20:00,OPR005
ALM000161,PLT005,TRB006,2024-03-23 22:05:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,436,2024-03-24 05:21:00,OPR002
ALM000162,PLT003,TRB004,2024-06-09 10:50:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,275,2024-06-09 15:25:00,OPR002
ALM000163,PLT004,GEN005,2024-09-24 06:14:00,ALM004,FUEL_FLOW_LOW,Gas fuel flow below threshold,WARNING,309,2024-09-24 11:23:00,OPR012
ALM000164,PLT005,GEN006,2024-05-29 19:52:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,266,2024-05-30 00:18:00,OPR004
