reading_id,plant_id,reading_timestamp,mw_output,fuel_consumed_mscf,heat_rate_btu_kwh,load_factor_pct,frequency_hz,voltage_kv,status
RDG00000039,PLT004,2024-01-01 21:00:00,28.64,0.2674,9335.0,86.79,50.0,11.098,PARTIAL_LOAD
RDG00000040,PLT005,2024-01-01 21:00:00,24.47,0.2265,9256.0,76.47,49.91,10.945,PARTIAL_LOAD
RDG00000041,PLT001,2024-01-02 00:00:00,46.57,0.4389,9424.0,80.3,49.94,10.983,PARTIAL_LOAD
RDG00000042,PLT002,2024-01-02 00:00:00,24.49,0.2405,9821.0,79.01,49.85,10.889,PARTIAL_LOAD
RDG00000043,PLT003,2024-01-02 00:00:00,19.32,0.1926,9969.0,75.75,49.96,10.875,PARTIAL_LOAD
RDG00000044,PLT004,2024-01-02 00:00:00,24.21,0.2276,9402.0,73.36,50.03,10.821,PARTIAL_LOAD
RDG00000045,PLT005,2024-01-02 00:00:00,26.09,0.2504,9599.0,81.52,49.93,10.928,PARTIAL_LOAD
RDG00000046,PLT001,2024-01-02 03:00:00,43.9,0.3958,9016.0,75.69,49.9,10.925,PARTIAL_LOAD
RDG00000047,PLT002,2024-01-02 03:00:00,24.91,0.2387,9583.0,80.36,50.14,11.257,PARTIAL_LOAD
RDG00000048,PLT003,2024-01-02 03:00:00,19.94,0.189,9479.0,78.2,49.94,10.974,PARTIAL_LOAD
RDG00000049,PLT004,2024-01-02 03:00:00,28.18,0.2703,9591.0,85.39,49.95,11.018,PARTIAL_LOAD
RDG00000050,PLT005,2024-01-02 03:00:00,24.36,0.2217,9100.0,76.13,50.03,10.813,PARTIAL_LOAD
RDG00000051,PLT001,2024-01-02 06:00:00,0.0,0.0,0.0,0.0,50.24,10.852,OFFLINE
RDG00000052,PLT002,2024-01-02 06:00:00,29.99,0.3008,10029.0,96.75,50.01,11.204,FULL_LOAD
RDG00000053,PLT003,2024-01-02 06:00:00,22.92,0.2275,9926.0,89.88,50.02,10.855,PARTIAL_LOAD
RDG00000054,PLT004,2024-01-02 06:00:00,28.13,0.2661,9460.0,85.23,49.88,10.986,PARTIAL_LOAD
RDG00000055,PLT005,2024-01-02 06:00:00,30.37,0.2985,9828.0,94.89,50.12,10.719,PARTIAL_LOAD
RDG00000056,PLT001,2024-01-02 09:00:00,53.9,0.5201,9650.0,92.94,50.01,11.083,PARTIAL_LOAD
RDG00000057,PLT002,2024-01-02 09:00:00,29.33,0.2923,9966.0,94.6,49.95,11.043,PARTIAL_LOAD
RDG00000058,PLT003,2024-01-02 09:00:00,23.88,0.2309,9671.0,93.66,49.85,11.001,PARTIAL_LOAD
RDG00000059,PLT004,2024-01-02 09:00:00,31.07,0.2908,9358.0,94.15,50.14,10.955,PARTIAL_LOAD
RDG00000060,PLT005,2024-01-02 09:00:00,29.84,0.2837,9507.0,93.25,50.08,11.209,PARTIAL_LOAD
RDG00000061,PLT001,2024-01-02 12:00:00,52.97,0.505,9533.0,91.33,49.98,10.959,PARTIAL_LOAD
RDG00000062,PLT002,2024-01-02 12:00:00,31.0,0.297,9582.0,100.0,49.92,10.778,FULL_LOAD
RDG00000063,PLT003,2024-01-02 12:00:00,23.74,0.2303,9701.0,93.08,50.0,10.98,PARTIAL_LOAD
RDG00000064,PLT004,2024-01-02 12:00:00,31.38,0.2979,9493.0,95.1,49.93,10.82,FULL_LOAD
RDG00000065,PLT005,2024-01-02 12:00:00,0.0,0.0,0.0,0.0,50.01,10.978,OFFLINE
RDG00000066,PLT001,2024-01-02 15:00:00,55.06,0.5184,9415.0,94.92,50.27,11.273,PARTIAL_LOAD
RDG00000067,PLT002,2024-01-02 15:00:00,29.66,0.2863,9652.0,95.66,49.79,11.053,FULL_LOAD
RDG00000068,PLT003,2024-01-02 15:00:00,24.46,0.2345,9587.0,95.91,50.11,11.047,FULL_LOAD
RDG00000069,PLT004,2024-01-02 15:00:00,30.66,0.2869,9357.0,92.9,50.07,10.581,PARTIAL_LOAD
RDG00000070,PLT005,2024-01-02 15:00:00,29.26,0.2734,9344.0,91.45,49.82,10.831,PARTIAL_LOAD
RDG00000071,PLT001,2024-01-02 18:00:00,48.21,0.4659,9663.0,83.12,50.05,10.952,PARTIAL_LOAD
RDG00000072,PLT002,2024-01-02 18:00:00,0.0,0.0,0.0,0.0,50.06,11.155,OFFLINE
RDG00000073,PLT003,2024-01-02 18:00:00,21.21,0.2045,9641.0,83.19,50.03,10.948,PARTIAL_LOAD
RDG00000074,PLT004,2024-01-02 18:00:00,28.75,0.2728,9490.0,87.13,50.14,10.769,PARTIAL_LOAD
RDG00000075,PLT005,2024-01-02 18:00:00,27.87,0.265,9509.0,87.08,50.19,10.855,PARTIAL_LOAD
RDG00000076,PLT001,2024-01-02 21:00:00,46.52,0.441,9480.0,80.21,49.9,11.352,PARTIAL_LOAD
RDG00000077,PLT002,2024-01-02 21:00:00,23.76,0.2216,9326.0,76.65,49.97,11.036,PARTIAL_LOAD
RDG00000078,PLT003,2024-01-02 21:00:00,20.93,0.2015,9626.0,82.09,49.84,11.205,PARTIAL_LOAD
RDG00000079,PLT004,2024-01-02 21:00:00,25.89,0.2535,9792.0,78.45,50.16,10.983,PARTIAL_LOAD
RDG00000080,PLT005,2024-01-02 21:00:00,23.3,0.2213,9497.0,72.81,49.82,11.11,PARTIAL_LOAD
RDG00000081,PLT001,2024-01-03 00:00:00,43.63,0.4271,9788.0,75.23,49.86,11.156,PARTIAL_LOAD
RDG00000082,PLT002,2024-01-03 00:00:00,24.91,0.2374,9530.0,80.36,49.91,11.008,PARTIAL_LOAD
RDG00000083,PLT003,2024-01-03 00:00:00,20.65,0.1946,9423.0,80.97,49.98,10.946,PARTIAL_LOAD
RDG00000084,PLT004,2024-01-03 00:00:00,24.44,0.2262,9257.0,74.06,50.05,11.043,PARTIAL_LOAD
RDG00000085,PLT005,2024-01-03 00:00:00,24.64,0.2273,9225.0,76.99,49.98,11.065,PARTIAL_LOAD
RDG00000086,PLT001,2024-01-03 03:00:00,48.43,0.4604,9506.0,83.5,49.99,11.079,PARTIAL_LOAD
RDG00000087,PLT002,2024-01-03 03:00:00,25.48,0.2472,9702.0,82.18,49.98,11.019,PARTIAL_LOAD
RDG00000088,PLT003,2024-01-03 03:00:00,20.43,0.1955,9570.0,80.12,49.96,11.132,PARTIAL_LOAD
RDG00000089,PLT004,2024-01-03 03:00:00,26.45,0.2563,9691.0,80.16,50.18,10.81,PARTIAL_LOAD
RDG00000090,PLT005,2024-01-03 03:00:00,27.14,0.2569,9464.0,84.8,49.96,11.056,PARTIAL_LOAD
RDG00000091,PLT001,2024-01-03 06:00:00,50.4,0.4899,9721.0,86.9,49.9,11.063,PARTIAL_LOAD
RDG00000092,PLT002,2024-01-03 06:00:00,26.91,0.2559,9508.0,86.81,50.0,11.21,PARTIAL_LOAD
RDG00000093,PLT003,2024-01-03 06:00:00,22.02,0.2076,9427.0,86.35,49.92,11.344,PARTIAL_LOAD
RDG00000094,PLT004,2024-01-03 06:00:00,28.36,0.2763,9742.0,85.94,49.96,11.119,PARTIAL_LOAD
RDG00000095,PLT005,2024-01-03 06:00:00,28.92,0.2642,9137.0,90.38,50.06,11.1,PARTIAL_LOAD
RDG00000096,PLT001,2024-01-03 09:00:00,56.24,0.5318,9456.0,96.97,50.26,10.913,FULL_LOAD
RDG00000097,PLT002,2024-01-03 09:00:00,29.1,0.2851,9798.0,93.88,49.93,10.949,PARTIAL_LOAD
RDG00000098,PLT003,2024-01-03 09:00:00,23.24,0.2268,9759.0,91.14,50.1,11.127,PARTIAL_LOAD
RDG00000099,PLT004,2024-01-03 09:00:00,30.33,0.2839,9362.0,91.92,49.76,10.885,PARTIAL_LOAD
RDG00000100,PLT005,2024-01-03 09:00:00,28.96,0.2773,9575.0,90.5,49.96,11.223,PARTIAL_LOAD
RDG00000101,PLT001,2024-01-03 12:00:00,58.0,0.5323,9177.0,100.0,49.86,11.001,FULL_LOAD
RDG00000102,PLT002,2024-01-03 12:00:00,30.45,0.2982,9793.0,98.22,50.01,10.943,FULL_LOAD
RDG00000103,PLT003,2024-01-03 12:00:00,25.5,0.2419,9487.0,100.0,49.78,10.986,FULL_LOAD
RDG00000104,PLT004,2024-01-03 12:00:00,31.9,0.2956,9266.0,96.65,49.87,11.246,FULL_LOAD
RDG00000105,PLT005,2024-01-03 12:00:00,30.03,0.2833,9434.0,93.84,50.02,10.782,PARTIAL_LOAD
RDG00000106,PLT001,2024-01-03 15:00:00,53.6,0.5214,9728.0,92.42,50.15,10.977,PARTIAL_LOAD
RDG00000107,PLT002,2024-01-03 15:00:00,28.22,0.2736,9697.0,91.02,49.99,11.009,PARTIAL_LOAD
RDG00000108,PLT003,2024-01-03 15:00:00,24.19,0.2356,9739.0,94.87,49.89,10.905,PARTIAL_LOAD
RDG00000109,PLT004,2024-01-03 15:00:00,30.44,0.2912,9567.0,92.25,49.9,10.907,PARTIAL_LOAD
RDG00000110,PLT005,2024-01-03 15:00:00,30.3,0.289,9537.0,94.7,49.78,11.193,PARTIAL_LOAD
RDG00000111,PLT001,2024-01-03 18:00:00,54.12,0.5313,9817.0,93.32,49.96,11.153,PARTIAL_LOAD
RDG00000112,PLT002,2024-01-03 18:00:00,27.57,0.268,9721.0,88.92,49.86,11.088,PARTIAL_LOAD
RDG00000113,PLT003,2024-01-03 18:00:00,22.17,0.214,9653.0,86.94,50.15,11.193,PARTIAL_LOAD
RDG00000114,PLT004,2024-01-03 18:00:00,28.15,0.2606,9259.0,85.3,50.07,10.989,PARTIAL_LOAD
RDG00000115,PLT005,2024-01-03 18:00:00,28.42,0.273,9605.0,88.81,50.07,10.972,PARTIAL_LOAD
RDG00000116,PLT001,2024-01-03 21:00:00,46.02,0.4405,9572.0,79.34,49.98,11.015,PARTIAL_LOAD
RDG00000117,PLT002,2024-01-03 21:00:00,24.62,0.2317,9413.0,79.43,49.88,11.151,PARTIAL_LOAD
RDG00000118,PLT003,2024-01-03 21:00:00,20.99,0.2061,9821.0,82.3,50.04,11.027,PARTIAL_LOAD
RDG00000119,PLT004,2024-01-03 21:00:00,27.15,0.2554,9407.0,82.27,49.92,11.031,PARTIAL_LOAD
RDG00000120,PLT005,2024-01-03 21:00:00,26.66,0.2483,9314.0,83.32,49.89,10.882,PARTIAL_LOAD
RDG00000121,PLT001,2024-01-04 00:00:00,43.87,0.4126,9404.0,75.63,49.86,10.815,PARTIAL_LOAD
RDG00000122,PLT002,2024-01-04 00:00:00,23.97,0.2238,9338.0,77.31,50.05,11.041,PARTIAL_LOAD
RDG00000123,PLT003,2024-01-04 00:00:00,20.37,0.1959,9615.0,79.89,49.96,10.832,PARTIAL_LOAD
RDG00000124,PLT004,2024-01-04 00:00:00,25.27,0.2414,9554.0,76.58,50.06,11.196,PARTIAL_LOAD
RDG00000125,PLT005,2024-01-04 00:00:00,24.48,0.226,9230.0,76.5,49.89,10.941,PARTIAL_LOAD
RDG00000126,PLT001,2024-01-04 03:00:00,47.9,0.4615,9634.0,82.59,50.09,11.047,PARTIAL_LOAD
RDG00000127,PLT002,2024-01-04 03:00:00,25.59,0.2433,9507.0,82.55,50.12,10.96,PARTIAL_LOAD
RDG00000128,PLT003,2024-01-04 03:00:00,19.48,0.1853,9510.0,76.37,50.06,10.853,PARTIAL_LOAD
RDG00000129,PLT004,2024-01-04 03:00:00,26.92,0.2564,9525.0,81.58,49.98,11.116,PARTIAL_LOAD
RDG00000130,PLT005,2024-01-04 03:00:00,25.33,0.2399,9472.0,79.16,49.99,10.745,PARTIAL_LOAD
RDG00000131,PLT001,2024-01-04 06:00:00,50.23,0.4757,9470.0,86.6,50.03,10.724,PARTIAL_LOAD
RDG00000132,PLT002,2024-01-04 06:00:00,26.12,0.2553,9776.0,84.26,49.98,10.815,PARTIAL_LOAD
RDG00000133,PLT003,2024-01-04 06:00:00,22.79,0.2164,9494.0,89.39,50.0,10.874,PARTIAL_LOAD
RDG00000134,PLT004,2024-01-04 06:00:00,30.12,0.2861,9499.0,91.28,50.04,10.853,PARTIAL_LOAD
RDG00000135,PLT005,2024-01-04 06:00:00,29.82,0.2829,9487.0,93.18,50.05,10.815,PARTIAL_LOAD
RDG00000136,PLT001,2024-01-04 09:00:00,53.52,0.522,9754.0,92.28,50.03,11.071,PARTIAL_LOAD
RDG00000137,PLT002,2024-01-04 09:00:00,29.64,0.2855,9631.0,95.62,49.95,11.098,FULL_LOAD
RDG00000138,PLT003,2024-01-04 09:00:00,23.59,0.2231,9457.0,92.5,49.98,11.115,PARTIAL_LOAD
RDG00000139,PLT004,2024-01-04 09:00:00,33.0,0.2986,9047.0,100.0,50.21,11.217,FULL_LOAD
RDG00000140,PLT005,2024-01-04 09:00:00,30.9,0.28,9063.0,96.57,50.03,10.942,FULL_LOAD
RDG00000141,PLT001,2024-01-04 12:00:00,57.72,0.5418,9387.0,99.52,50.08,10.776,FULL_LOAD
RDG00000142,PLT002,2024-01-04 12:00:00,29.9,0.2779,9293.0,96.44,49.99,11.154,FULL_LOAD
RDG00000143,PLT003,2024-01-04 12:00:00,23.95,0.2295,9584.0,93.94,50.1,11.1,PARTIAL_LOAD
RDG00000144,PLT004,2024-01-04 12:00:00,31.93,0.3181,9962.0,96.76,50.08,10.959,FULL_LOAD
RDG00000145,PLT005,2024-01-04 12:00:00,32.0,0.3042,9505.0,100.0,49.99,10.835,FULL_LOAD
RDG00000146,PLT001,2024-01-04 15:00:00,54.3,0.5071,9338.0,93.62,49.93,10.977,PARTIAL_LOAD
RDG00000147,PLT002,2024-01-04 15:00:00,28.89,0.2762,9559.0,93.2,50.04,10.88,PARTIAL_LOAD
RDG00000148,PLT003,2024-01-04 15:00:00,23.37,0.2192,9378.0,91.65,49.92,11.189,PARTIAL_LOAD
RDG00000149,PLT004,2024-01-04 15:00:00,31.81,0.3031,9527.0,96.38,49.95,11.019,FULL_LOAD
RDG00000150,PLT005,2024-01-04 15:00:00,0.0,0.0,0.0,0.0,49.92,11.097,OFFLINE
RDG00000151,PLT001,2024-01-04 18:00:00,50.74,0.492,9696.0,87.47,50.11,11.189,PARTIAL_LOAD
RDG00000152,PLT002,2024-01-04 18:00:00,29.1,0.2739,9414.0,93.86,49.94,10.775,PARTIAL_LOAD
RDG00000153,PLT003,2024-01-04 18:00:00,23.63,0.2213,9364.0,92.68,50.05,10.966,PARTIAL_LOAD
RDG00000154,PLT004,2024-01-04 18:00:00,28.35,0.2692,9497.0,85.92,50.0,10.921,PARTIAL_LOAD
RDG00000155,PLT005,2024-01-04 18:00:00,28.23,0.2678,9488.0,88.23,49.99,10.907,PARTIAL_LOAD
RDG00000156,PLT001,2024-01-04 21:00:00,43.92,0.4131,9406.0,75.72,50.02,11.133,PARTIAL_LOAD
RDG00000157,PLT002,2024-01-04 21:00:00,25.48,0.2456,9639.0,82.2,50.05,11.06,PARTIAL_LOAD
RDG00000158,PLT003,2024-01-04 21:00:00,20.35,0.1934,9502.0,79.82,49.95,11.083,PARTIAL_LOAD
RDG00000159,PLT004,2024-01-04 21:00:00,26.68,0.2612,9789.0,80.86,50.01,10.777,PARTIAL_LOAD
RDG00000160,PLT005,2024-01-04 21:00:00,26.46,0.2545,9620.0,82.69,50.08,10.885,PARTIAL_LOAD
RDG00000161,PLT001,2024-01-05 00:00:00,42.06,0.4109,9770.0,72.52,50.1,10.875,PARTIAL_LOAD
RDG00000162,PLT002,2024-01-05 00:00:00,23.69,0.224,9457.0,76.42,50.05,10.989,PARTIAL_LOAD
RDG00000163,PLT003,2024-01-05 00:00:00,20.21,0.1875,9279.0,79.24,49.92,11.042,PARTIAL_LOAD
RDG00000164,PLT004,2024-01-05 00:00:00,24.25,0.2281,9408.0,73.48,49.93,10.822,PARTIAL_LOAD
RDG00000165,PLT005,2024-01-05 00:00:00,24.83,0.2354,9481.0,77.6,50.03,11.299,PARTIAL_LOAD
RDG00000166,PLT001,2024-01-05 03:00:00,44.35,0.4293,9679.0,76.46,50.08,10.847,PARTIAL_LOAD
RDG00000167,PLT002,2024-01-05 03:00:00,24.45,0.2436,9965.0,78.88,49.98,11.201,PARTIAL_LOAD
RDG00000168,PLT003,2024-01-05 03:00:00,21.76,0.2023,9299.0,85.32,50.11,11.03,PARTIAL_LOAD
RDG00000169,PLT004,2024-01-05 03:00:00,24.25,0.2322,9574.0,73.5,50.0,10.997,PARTIAL_LOAD
RDG00000170,PLT005,2024-01-05 03:00:00,26.17,0.2501,9558.0,81.78,49.88,10.878,PARTIAL_LOAD
RDG00000171,PLT001,2024-01-05 06:00:00,49.56,0.4696,9475.0,85.44,49.96,10.798,PARTIAL_LOAD
RDG00000172,PLT002,2024-01-05 06:00:00,26.99,0.254,9412.0,87.05,50.11,11.079,PARTIAL_LOAD
RDG00000173,PLT003,2024-01-05 06:00:00,23.77,0.2206,9281.0,93.22,50.09,11.115,PARTIAL_LOAD
RDG00000174,PLT004,2024-01-05 06:00:00,27.75,0.2608,9397.0,84.09,49.85,11.03,PARTIAL_LOAD
RDG00000175,PLT005,2024-01-05 06:00:00,27.89,0.2593,9299.0,87.15,50.04,10.9,PARTIAL_LOAD
RDG00000176,PLT001,2024-01-05 09:00:00,54.2,0.5146,9494.0,93.44,49.95,10.939,PARTIAL_LOAD
RDG00000177,PLT002,2024-01-05 09:00:00,28.08,0.2733,9733.0,90.57,49.96,11.049,PARTIAL_LOAD
RDG00000178,PLT003,2024-01-05 09:00:00,23.05,0.2246,9744.0,90.38,50.12,10.963,PARTIAL_LOAD
RDG00000179,PLT004,2024-01-05 09:00:00,33.0,0.3253,9857.0,100.0,50.03,10.992,FULL_LOAD
RDG00000180,PLT005,2024-01-05 09:00:00,30.77,0.2901,9429.0,96.15,49.98,10.864,FULL_LOAD
RDG00000181,PLT001,2024-01-05 12:00:00,57.3,0.5343,9325.0,98.79,49.96,10.998,FULL_LOAD
RDG00000182,PLT002,2024-01-05 12:00:00,30.81,0.2919,9475.0,99.4,49.93,10.955,FULL_LOAD
RDG00000183,PLT003,2024-01-05 12:00:00,24.98,0.2375,9508.0,97.95,50.11,10.937,FULL_LOAD
RDG00000184,PLT004,2024-01-05 12:00:00,32.72,0.316,9659.0,99.15,49.9,11.211,FULL_LOAD
RDG00000185,PLT005,2024-01-05 12:00:00,30.55,0.2875,9410.0,95.46,50.09,10.978,FULL_LOAD
RDG00000186,PLT001,2024-01-05 15:00:00,53.78,0.502,9335.0,92.73,50.08,11.077,PARTIAL_LOAD
RDG00000187,PLT002,2024-01-05 15:00:00,29.13,0.2911,9993.0,93.98,49.97,11.152,PARTIAL_LOAD
RDG00000188,PLT003,2024-01-05 15:00:00,24.6,0.2362,9600.0,96.48,49.93,10.982,FULL_LOAD
RDG00000189,PLT004,2024-01-05 15:00:00,31.33,0.2927,9343.0,94.95,49.97,10.88,PARTIAL_LOAD
RDG00000190,PLT005,2024-01-05 15:00:00,29.68,0.2718,9156.0,92.74,50.01,11.108,PARTIAL_LOAD
RDG00000191,PLT001,2024-01-05 18:00:00,54.56,0.5184,9501.0,94.07,50.01,10.908,PARTIAL_LOAD
RDG00000192,PLT002,2024-01-05 18:00:00,27.64,0.2686,9719.0,89.17,49.83,11.008,PARTIAL_LOAD
RDG00000193,PLT003,2024-01-05 18:00:00,22.43,0.2173,9688.0,87.95,49.87,11.146,PARTIAL_LOAD
RDG00000194,PLT004,2024-01-05 18:00:00,29.78,0.2808,9430.0,90.24,50.0,11.237,PARTIAL_LOAD
RDG00000195,PLT005,2024-01-05 18:00:00,28.13,0.2778,9876.0,87.91,49.9,10.769,PARTIAL_LOAD
RDG00000196,PLT001,2024-01-05 21:00:00,46.6,0.4466,9583.0,80.35,49.99,11.066,PARTIAL_LOAD
RDG00000197,PLT002,2024-01-05 21:00:00,25.37,0.2469,9731.0,81.84,50.06,10.645,PARTIAL_LOAD
RDG00000198,PLT003,2024-01-05 21:00:00,21.42,0.2032,9488.0,84.0,50.09,11.073,PARTIAL_LOAD
RDG00000199,PLT004,2024-01-05 21:00:00,25.25,0.2382,9434.0,76.5,50.07,11.09,PARTIAL_LOAD
RDG00000200,PLT005,2024-01-05 21:00:00,26.19,0.2462,9400.0,81.84,49.97,11.086,PARTIAL_LOAD
RDG00000201,PLT001,2024-01-06 00:00:00,46.91,0.422,8996.0,80.89,49.94,11.034,PARTIAL_LOAD
RDG00000202,PLT002,2024-01-06 00:00:00,24.95,0.2391,9585.0,80.49,50.04,10.89,PARTIAL_LOAD
RDG00000203,PLT003,2024-01-06 00:00:00,18.57,0.1832,9868.0,72.83,50.05,10.969,PARTIAL_LOAD
RDG00000204,PLT004,2024-01-06 00:00:00,26.12,0.2443,9352.0,79.16,50.09,10.949,PARTIAL_LOAD
RDG00000205,PLT005,2024-01-06 00:00:00,24.29,0.2356,9700.0,75.91,50.02,10.762,PARTIAL_LOAD
RDG00000206,PLT001,2024-01-06 03:00:00,47.79,0.4372,9149.0,82.4,50.04,11.015,PARTIAL_LOAD
RDG00000207,PLT002,2024-01-06 03:00:00,25.2,0.242,9605.0,81.29,49.99,11.065,PARTIAL_LOAD
RDG00000208,PLT003,2024-01-06 03:00:00,19.98,0.1866,9338.0,78.34,49.9,10.985,PARTIAL_LOAD
RDG00000209,PLT004,2024-01-06 03:00:00,28.52,0.2823,9897.0,86.41,50.09,10.926,PARTIAL_LOAD
RDG00000210,PLT005,2024-01-06 03:00:00,26.07,0.2499,9586.0,81.48,49.92,11.161,PARTIAL_LOAD
RDG00000211,PLT001,2024-01-06 06:00:00,51.55,0.4726,9168.0,88.88,49.92,10.971,PARTIAL_LOAD
RDG00000212,PLT002,2024-01-06 06:00:00,27.42,0.2623,9565.0,88.45,50.06,11.047,PARTIAL_LOAD
RDG00000213,PLT003,2024-01-06 06:00:00,23.01,0.2248,9771.0,90.24,50.03,11.003,PARTIAL_LOAD
RDG00000214,PLT004,2024-01-06 06:00:00,29.87,0.2818,9433.0,90.51,49.99,10.985,PARTIAL_LOAD
RDG00000215,PLT005,2024-01-06 06:00:00,28.67,0.2776,9683.0,89.6,49.92,10.816,PARTIAL_LOAD
RDG00000216,PLT001,2024-01-06 09:00:00,52.85,0.5205,9848.0,91.12,49.99,10.881,PARTIAL_LOAD
RDG00000217,PLT002,2024-01-06 09:00:00,30.37,0.2946,9702.0,97.98,49.94,10.928,FULL_LOAD
RDG00000218,PLT003,2024-01-06 09:00:00,24.55,0.2352,9582.0,96.29,50.21,11.009,FULL_LOAD
RDG00000219,PLT004,2024-01-06 09:00:00,31.03,0.2844,9165.0,94.05,49.97,11.405,PARTIAL_LOAD
RDG00000220,PLT005,2024-01-06 09:00:00,30.42,0.2863,9413.0,95.05,49.93,11.135,FULL_LOAD
RDG00000221,PLT001,2024-01-06 12:00:00,53.29,0.5138,9641.0,91.87,50.0,11.153,PARTIAL_LOAD
RDG00000222,PLT002,2024-01-06 12:00:00,29.01,0.2815,9705.0,93.6,49.84,11.09,PARTIAL_LOAD
