delivery_id,plant_id,delivery_date,fuel_type,volume_mscf,unit_cost_usd_mscf,total_cost_usd,supplier,pipeline_segment
FUL00055,PLT005,2024-01-21,Natural Gas,1525.96,4.5631,6963.04,Ghana National Gas Company,Prestea RMS
FUL00056,PLT001,2024-01-23,Natural Gas,2201.36,4.0107,8829.02,Ghana National Gas Company,Prestea RMS
FUL00057,PLT002,2024-01-23,Natural Gas,1600.94,3.9429,6312.38,Ghana National Gas Company,Takoradi RMS
FUL00058,PLT003,2024-01-23,Natural Gas,2260.2,4.4964,10162.8,Ghana National Gas Company,Prestea RMS
FUL00059,PLT004,2024-01-23,Natural Gas,1277.51,4.3112,5507.55,Ghana National Gas Company,Takoradi RMS
FUL00060,PLT005,2024-01-23,Natural Gas,1774.35,3.9223,6959.48,Ghana National Gas Company,Prestea RMS
FUL00061,PLT001,2024-01-25,Natural Gas,2020.02,4.2315,8547.72,Ghana National Gas Company,Prestea RMS
FUL00062,PLT002,2024-01-25,Natural Gas,2045.8,4.2243,8642.04,Ghana National Gas Company,Takoradi RMS
FUL00063,PLT003,2024-01-25,Natural Gas,800.92,4.0593,3251.19,Ghana National Gas Company,Prestea RMS
FUL00064,PLT004,2024-01-25,Natural Gas,831.16,4.5433,3776.19,Ghana National Gas Company,Takoradi RMS
FUL00065,PLT005,2024-01-25,Natural Gas,2205.96,4.4653,9850.34,Ghana National Gas Company,Prestea RMS
FUL00066,PLT001,2024-01-27,Natural Gas,1292.02,3.8463,4969.55,Ghana National Gas Company,Prestea RMS
FUL00067,PLT002,2024-01-27,Natural Gas,2204.82,4.5576,10048.6,Ghana National Gas Company,Takoradi RMS
FUL00068,PLT003,2024-01-27,Natural Gas,937.05,4.1888,3925.11,Ghana National Gas Company,Prestea RMS
FUL00069,PLT004,2024-01-27,Natural Gas,910.74,4.4085,4014.98,Ghana National Gas Company,Takoradi RMS
FUL00070,PLT005,2024-01-27,Natural Gas,2025.34,3.9027,7904.32,Ghana National Gas Company,Prestea RMS
FUL00071,PLT001,2024-01-29,Natural Gas,1560.45,4.2398,6616.06,Ghana National Gas Company,Prestea RMS
FUL00072,PLT002,2024-01-29,Natural Gas,1224.09,4.4979,5505.89,Ghana National Gas Company,Takoradi RMS
FUL00073,PLT003,2024-01-29,Natural Gas,1477.02,3.9694,5862.94,Ghana National Gas Company,Prestea RMS
FUL00074,PLT004,2024-01-29,Natural Gas,1662.87,4.3839,7289.93,Ghana National Gas Company,Takoradi RMS
FUL00075,PLT005,2024-01-29,Natural Gas,1121.84,4.0494,4542.75,Ghana National Gas Company,Prestea RMS
FUL00076,PLT001,2024-01-31,Natural Gas,2392.24,4.3199,10334.24,Ghana National Gas Company,Prestea RMS
FUL00077,PLT002,2024-01-31,Natural Gas,1500.96,4.2141,6325.14,Ghana National Gas Company,Takoradi RMS
FUL00078,PLT003,2024-01-31,Natural Gas,993.61,3.9798,3954.33,Ghana National Gas Company,Prestea RMS
FUL00079,PLT004,2024-01-31,Natural Gas,1340.94,4.2706,5726.68,Ghana National Gas Company,Takoradi RMS
FUL00080,PLT005,2024-01-31,Natural Gas,1168.18,3.9762,4644.89,Ghana National Gas Company,Prestea RMS
FUL00081,PLT001,2024-02-02,Natural Gas,913.59,4.3049,3932.9,Ghana National Gas Company,Prestea RMS
FUL00082,PLT002,2024-02-02,Natural Gas,1166.31,4.5243,5276.78,Ghana National Gas Company,Takoradi RMS
FUL00083,PLT003,2024-02-02,Natural Gas,2175.42,3.8567,8389.91,Ghana National Gas Company,Prestea RMS
FUL00084,PLT004,2024-02-02,Natural Gas,1180.81,4.3352,5119.03,Ghana National Gas Company,Takoradi RMS
FUL00085,PLT005,2024-02-02,Natural Gas,1142.78,3.9059,4463.53,Ghana National Gas Company,Prestea RMS
FUL00086,PLT001,2024-02-04,Natural Gas,2296.82,4.2568,9777.18,Ghana National Gas Company,Prestea RMS
FUL00087,PLT002,2024-02-04,Natural Gas,1556.27,4.4277,6890.69,Ghana National Gas Company,Takoradi RMS
FUL00088,PLT003,2024-02-04,Natural Gas,2092.0,3.9523,8268.27,Ghana National Gas Company,Prestea RMS
FUL00089,PLT004,2024-02-04,Natural Gas,955.09,4.1448,3958.7,Ghana National Gas Company,Takoradi RMS
FUL00090,PLT005,2024-02-04,Natural Gas,1477.73,4.1736,6167.48,Ghana National Gas Company,Prestea RMS
FUL00091,PLT001,2024-02-06,Natural Gas,1966.52,4.3387,8532.12,Ghana National Gas Company,Prestea RMS
FUL00092,PLT002,2024-02-06,Natural Gas,2374.66,3.8787,9210.68,Ghana National Gas Company,Takoradi RMS
FUL00093,PLT003,2024-02-06,Natural Gas,1444.19,4.0714,5879.94,Ghana National Gas Company,Prestea RMS
FUL00094,PLT004,2024-02-06,Natural Gas,2178.68,3.9989,8712.38,Ghana National Gas Company,Takoradi RMS
FUL00095,PLT005,2024-02-06,Natural Gas,1104.33,4.1589,4592.79,Ghana National Gas Company,Prestea RMS
FUL00096,PLT001,2024-02-08,Natural Gas,1475.01,4.0228,5933.72,Ghana National Gas Company,Prestea RMS
FUL00097,PLT002,2024-02-08,Natural Gas,1199.69,4.5386,5444.93,Ghana National Gas Company,Takoradi RMS
FUL00098,PLT003,2024-02-08,Natural Gas,1509.01,4.4891,6774.07,Ghana National Gas Company,Prestea RMS
FUL00099,PLT004,2024-02-08,Natural Gas,1680.52,3.8405,6453.99,Ghana National Gas Company,Takoradi RMS
FUL00100,PLT005,2024-02-08,Natural Gas,2398.85,4.4688,10720.03,Ghana National Gas Company,Prestea RMS
FUL00101,PLT001,2024-02-10,Natural Gas,2350.39,4.5411,10673.34,Ghana National Gas Company,Prestea RMS
FUL00102,PLT002,2024-02-10,Natural Gas,2157.91,3.9331,8487.17,Ghana National Gas Company,Takoradi RMS
FUL00103,PLT003,2024-02-10,Natural Gas,1577.03,3.971,6262.38,Ghana National Gas Company,Prestea RMS
FUL00104,PLT004,2024-02-10,Natural Gas,1441.66,3.8469,5545.93,Ghana National Gas Company,Takoradi RMS
FUL00105,PLT005,2024-02-10,Natural Gas,1406.36,4.5882,6452.73,Ghana National Gas Company,Prestea RMS
FUL00106,PLT001,2024-02-12,Natural Gas,1224.32,4.4273,5420.38,Ghana National Gas Company,Prestea RMS
FUL00107,PLT002,2024-02-12,Natural Gas,1528.01,4.1384,6323.53,Ghana National Gas Company,Takoradi RMS
FUL00108,PLT003,2024-02-12,Natural Gas,2331.71,4.5963,10717.33,Ghana National Gas Company,Prestea RMS
FUL00109,PLT004,2024-02-12,Natural Gas,1689.23,4.3747,7389.92,Ghana National Gas Company,Takoradi RMS
FUL00110,PLT005,2024-02-12,Natural Gas,1047.67,4.0374,4229.83,Ghana National Gas Company,Prestea RMS
FUL00111,PLT001,2024-02-14,Natural Gas,2349.93,4.2633,10018.56,Ghana National Gas Company,Prestea RMS
FUL00112,PLT002,2024-02-14,Natural Gas,1667.51,4.3984,7334.34,Ghana National Gas Company,Takoradi RMS
FUL00113,PLT003,2024-02-14,Natural Gas,891.46,4.2673,3804.16,Ghana National Gas Company,Prestea RMS
FUL00114,PLT004,2024-02-14,Natural Gas,1604.56,4.4822,7191.92,Ghana National Gas Company,Takoradi RMS
FUL00115,PLT005,2024-02-14,Natural Gas,1051.89,4.5686,4805.69,Ghana National Gas Company,Prestea RMS
FUL00116,PLT001,2024-02-16,Natural Gas,928.18,3.9487,3665.07,Ghana National Gas Company,Prestea RMS
FUL00117,PLT002,2024-02-16,Natural Gas,1752.06,4.3402,7604.24,Ghana National Gas Company,Takoradi RMS
FUL00118,PLT003,2024-02-16,Natural Gas,1176.33,3.8959,4582.87,Ghana National Gas Company,Prestea RMS
FUL00119,PLT004,2024-02-16,Natural Gas,2224.46,3.997,8891.1,Ghana National Gas Company,Takoradi RMS
FUL00120,PLT005,2024-02-16,Natural Gas,1751.23,4.2955,7522.42,Ghana National Gas Company,Prestea RMS
FUL00121,PLT001,2024-02-18,Natural Gas,1470.76,4.2669,6275.64,Ghana National Gas Company,Prestea RMS
FUL00122,PLT002,2024-02-18,Natural Gas,1636.45,4.5478,7442.19,Ghana National Gas Company,Takoradi RMS
FUL00123,PLT003,2024-02-18,Natural Gas,1126.81,4.373,4927.49,Ghana National Gas Company,Prestea RMS
FUL00124,PLT004,2024-02-18,Natural Gas,1181.9,4.1166,4865.44,Ghana National Gas Company,Takoradi RMS
FUL00125,PLT005,2024-02-18,Natural Gas,1874.7,4.04,7573.78,Ghana National Gas Company,Prestea RMS
FUL00126,PLT001,2024-02-20,Natural Gas,1305.88,4.4015,5747.82,Ghana National Gas Company,Prestea RMS
FUL00127,PLT002,2024-02-20,Natural Gas,916.07,4.1666,3816.92,Ghana National Gas Company,Takoradi RMS
FUL00128,PLT003,2024-02-20,Natural Gas,2397.53,4.5969,11021.15,Ghana National Gas Company,Prestea RMS
FUL00129,PLT004,2024-02-20,Natural Gas,917.22,3.9705,3641.84,Ghana National Gas Company,Takoradi RMS
FUL00130,PLT005,2024-02-20,Natural Gas,1224.32,4.5466,5566.5,Ghana National Gas Company,Prestea RMS
FUL00131,PLT001,2024-02-22,Natural Gas,2209.38,4.5034,9949.76,Ghana National Gas Company,Prestea RMS
FUL00132,PLT002,2024-02-22,Natural Gas,1391.24,3.9262,5462.28,Ghana National Gas Company,Takoradi RMS
FUL00133,PLT003,2024-02-22,Natural Gas,2133.99,4.3628,9310.24,Ghana National Gas Company,Prestea RMS
FUL00134,PLT004,2024-02-22,Natural Gas,1778.68,4.5898,8163.76,Ghana National Gas Company,Takoradi RMS
FUL00135,PLT005,2024-02-22,Natural Gas,1846.36,3.8063,7027.72,Ghana National Gas Company,Prestea RMS
FUL00136,PLT001,2024-02-24,Natural Gas,2107.37,4.0395,8512.73,Ghana National Gas Company,Prestea RMS
FUL00137,PLT002,2024-02-24,Natural Gas,1861.42,4.5511,8471.59,Ghana National Gas Company,Takoradi RMS
FUL00138,PLT003,2024-02-24,Natural Gas,1014.87,3.8923,3950.22,Ghana National Gas Company,Prestea RMS
FUL00139,PLT004,2024-02-24,Natural Gas,971.26,4.2426,4120.65,Ghana National Gas Company,Takoradi RMS
FUL00140,PLT005,2024-02-24,Natural Gas,1235.76,4.2839,5293.83,Ghana National Gas Company,Prestea RMS
FUL00141,PLT001,2024-02-26,Natural Gas,1948.18,3.9629,7720.4,Ghana National Gas Company,Prestea RMS
FUL00142,PLT002,2024-02-26,Natural Gas,1814.78,4.0112,7279.42,Ghana National Gas Company,Takoradi RMS
FUL00143,PLT003,2024-02-26,Natural Gas,1581.65,4.5243,7155.81,Ghana National Gas Company,Prestea RMS
FUL00144,PLT004,2024-02-26,Natural Gas,2153.77,3.8738,8343.36,Ghana National Gas Company,Takoradi RMS
FUL00145,PLT005,2024-02-26,Natural Gas,1477.72,4.0213,5942.42,Ghana National Gas Company,Prestea RMS
FUL00146,PLT001,2024-02-28,Natural Gas,805.67,4.4169,3558.56,Ghana National Gas Company,Prestea RMS
FUL00147,PLT002,2024-02-28,Natural Gas,1819.38,4.0096,7294.92,Ghana National Gas Company,Takoradi RMS
FUL00148,PLT003,2024-02-28,Natural Gas,1985.97,4.2413,8423.18,Ghana National Gas Company,Prestea RMS
FUL00149,PLT004,2024-02-28,Natural Gas,1484.3,3.8077,5651.82,Ghana National Gas Company,Takoradi RMS
FUL00150,PLT005,2024-02-28,Natural Gas,920.39,4.5065,4147.72,Ghana National Gas Company,Prestea RMS
FUL00151,PLT001,2024-03-01,Natural Gas,2246.29,4.2365,9516.35,Ghana National Gas Company,Prestea RMS
FUL00152,PLT002,2024-03-01,Natural Gas,2135.35,4.266,9109.42,Ghana National Gas Company,Takoradi RMS
FUL00153,PLT003,2024-03-01,Natural Gas,1036.95,3.902,4046.13,Ghana National Gas Company,Prestea RMS
FUL00154,PLT004,2024-03-01,Natural Gas,1293.21,4.5192,5844.26,Ghana National Gas Company,Takoradi RMS
FUL00155,PLT005,2024-03-01,Natural Gas,2073.8,4.4886,9308.38,Ghana National Gas Company,Prestea RMS
FUL00156,PLT001,2024-03-03,Natural Gas,2238.28,3.9681,8881.63,Ghana National Gas Company,Prestea RMS
FUL00157,PLT002,2024-03-03,Natural Gas,1199.25,3.8822,4655.77,Ghana National Gas Company,Takoradi RMS
FUL00158,PLT003,2024-03-03,Natural Gas,2048.19,4.5073,9231.82,Ghana National Gas Company,Prestea RMS
FUL00159,PLT004,2024-03-03,Natural Gas,1450.2,4.2965,6230.83,Ghana National Gas Company,Takoradi RMS
FUL00160,PLT005,2024-03-03,Natural Gas,1047.29,4.5439,4758.79,Ghana National Gas Company,Prestea RMS
FUL00161,PLT001,2024-03-05,Natural Gas,2183.37,4.581,10001.94,Ghana National Gas Company,Prestea RMS
FUL00162,PLT002,2024-03-05,Natural Gas,2097.23,4.5051,9448.3,Ghana National Gas Company,Takoradi RMS
FUL00163,PLT003,2024-03-05,Natural Gas,839.66,4.3893,3685.48,Ghana National Gas Company,Prestea RMS
FUL00164,PLT004,2024-03-05,Natural Gas,1331.5,4.5447,6051.21,Ghana National Gas Company,Takoradi RMS
FUL00165,PLT005,2024-03-05,Natural Gas,2083.58,4.4913,9357.88,Ghana National Gas Company,Prestea RMS
FUL00166,PLT001,2024-03-07,Natural Gas,2097.2,4.0134,8417.0,Ghana National Gas Company,Prestea RMS
FUL00167,PLT002,2024-03-07,Natural Gas,2059.8,3.8865,8005.36,Ghana National Gas Company,Takoradi RMS
FUL00168,PLT003,2024-03-07,Natural Gas,2195.47,4.4869,9850.8,Ghana National Gas Company,Prestea RMS
FUL00169,PLT004,2024-03-07,Natural Gas,1155.89,4.4533,5147.49,Ghana National Gas Company,Takoradi RMS
FUL00170,PLT005,2024-03-07,Natural Gas,1536.49,4.0442,6213.8,Ghana National Gas Company,Prestea RMS
FUL00171,PLT001,2024-03-09,Natural Gas,2072.55,3.9821,8253.05,Ghana National Gas Company,Prestea RMS
FUL00172,PLT002,2024-03-09,Natural Gas,837.86,3.9545,3313.32,Ghana National Gas Company,Takoradi RMS
FUL00173,PLT003,2024-03-09,Natural Gas,1325.22,4.4915,5952.2,Ghana National Gas Company,Prestea RMS
FUL00174,PLT004,2024-03-09,Natural Gas,2347.02,4.0233,9442.77,Ghana National Gas Company,Takoradi RMS
FUL00175,PLT005,2024-03-09,Natural Gas,1826.37,4.1197,7524.17,Ghana National Gas Company,Prestea RMS
FUL00176,PLT001,2024-03-11,Natural Gas,2369.84,4.229,10021.99,Ghana National Gas Company,Prestea RMS
FUL00177,PLT002,2024-03-11,Natural Gas,2302.78,3.8923,8963.05,Ghana National Gas Company,Takoradi RMS
FUL00178,PLT003,2024-03-11,Natural Gas,2352.64,3.9429,9276.12,Ghana National Gas Company,Prestea RMS
FUL00179,PLT004,2024-03-11,Natural Gas,2340.05,4.0124,9389.15,Ghana National Gas Company,Takoradi RMS
FUL00180,PLT005,2024-03-11,Natural Gas,973.44,4.1477,4037.49,Ghana National Gas Company,Prestea RMS
FUL00181,PLT001,2024-03-13,Natural Gas,1965.67,4.0509,7962.81,Ghana National Gas Company,Prestea RMS
FUL00182,PLT002,2024-03-13,Natural Gas,1769.93,4.2091,7449.88,Ghana National Gas Company,Takoradi RMS
FUL00183,PLT003,2024-03-13,Natural Gas,1416.31,4.2613,6035.28,Ghana National Gas Company,Prestea RMS
FUL00184,PLT004,2024-03-13,Natural Gas,1207.56,4.367,5273.45,Ghana National Gas Company,Takoradi RMS
FUL00185,PLT005,2024-03-13,Natural Gas,802.71,4.5405,3644.67,Ghana National Gas Company,Prestea RMS
FUL00186,PLT001,2024-03-15,Natural Gas,1661.52,4.3755,7270.05,Ghana National Gas Company,Prestea RMS
FUL00187,PLT002,2024-03-15,Natural Gas,1987.12,4.3365,8617.15,Ghana National Gas Company,Takoradi RMS
FUL00188,PLT003,2024-03-15,Natural Gas,1382.75,3.856,5331.86,Ghana National Gas Company,Prestea RMS
FUL00189,PLT004,2024-03-15,Natural Gas,1862.78,4.0642,7570.64,Ghana National Gas Company,Takoradi RMS
FUL00190,PLT005,2024-03-15,Natural Gas,1302.27,4.4784,5832.1,Ghana National Gas Company,Prestea RMS
FUL00191,PLT001,2024-03-17,Natural Gas,1951.61,4.0403,7885.01,Ghana National Gas Company,Prestea RMS
FUL00192,PLT002,2024-03-17,Natural Gas,1294.86,4.1267,5343.52,Ghana National Gas Company,Takoradi RMS
FUL00193,PLT003,2024-03-17,Natural Gas,1443.84,4.0365,5828.1,Ghana National Gas Company,Prestea RMS
FUL00194,PLT004,2024-03-17,Natural Gas,1003.66,4.1364,4151.5,Ghana National Gas Company,Takoradi RMS
FUL00195,PLT005,2024-03-17,Natural Gas,2304.58,4.3419,10006.15,Ghana National Gas Company,Prestea RMS
FUL00196,PLT001,2024-03-19,Natural Gas,2244.49,4.2924,9634.28,Ghana National Gas Company,Prestea RMS
FUL00197,PLT002,2024-03-19,Natural Gas,1281.52,4.2383,5431.53,Ghana National Gas Company,Takoradi RMS
FUL00198,PLT003,2024-03-19,Natural Gas,800.65,4.0295,3226.24,Ghana National Gas Company,Prestea RMS
FUL00199,PLT004,2024-03-19,Natural Gas,1487.82,4.264,6344.05,Ghana National Gas Company,Takoradi RMS
FUL00200,PLT005,2024-03-19,Natural Gas,1847.53,4.172,7707.88,Ghana National Gas Company,Prestea RMS
FUL00201,PLT001,2024-03-21,Natural Gas,1507.46,3.971,5986.07,Ghana National Gas Company,Prestea RMS
FUL00202,PLT002,2024-03-21,Natural Gas,1557.1,4.5209,7039.56,Ghana National Gas Company,Takoradi RMS
FUL00203,PLT003,2024-03-21,Natural Gas,2073.64,3.9358,8161.34,Ghana National Gas Company,Prestea RMS
FUL00204,PLT004,2024-03-21,Natural Gas,935.67,4.2124,3941.38,Ghana National Gas Company,Takoradi RMS
FUL00205,PLT005,2024-03-21,Natural Gas,1812.71,4.0682,7374.38,Ghana National Gas Company,Prestea RMS
FUL00206,PLT001,2024-03-23,Natural Gas,2109.48,4.4009,9283.63,Ghana National Gas Company,Prestea RMS
FUL00207,PLT002,2024-03-23,Natural Gas,1876.47,3.9797,7467.81,Ghana National Gas Company,Takoradi RMS
FUL00208,PLT003,2024-03-23,Natural Gas,1118.61,3.8195,4272.58,Ghana National Gas Company,Prestea RMS
FUL00209,PLT004,2024-03-23,Natural Gas,1191.75,4.1801,4981.64,Ghana National Gas Company,Takoradi RMS
FUL00210,PLT005,2024-03-23,Natural Gas,2159.58,3.8583,8332.23,Ghana National Gas Company,Prestea RMS
FUL00211,PLT001,2024-03-25,Natural Gas,1463.11,4.3038,6296.95,Ghana National Gas Company,Prestea RMS
FUL00212,PLT002,2024-03-25,Natural Gas,1111.1,4.3571,4841.16,Ghana National Gas Company,Takoradi RMS
FUL00213,PLT003,2024-03-25,Natural Gas,1591.0,3.9952,6356.34,Ghana National Gas Company,Prestea RMS
FUL00214,PLT004,2024-03-25,Natural Gas,1849.69,3.8044,7037.03,Ghana National Gas Company,Takoradi RMS
FUL00215,PLT005,2024-03-25,Natural Gas,2001.54,4.416,8838.87,Ghana National Gas Company,Prestea RMS
FUL00216,PLT001,2024-03-27,Natural Gas,970.54,4.1401,4018.15,Ghana National Gas Company,Prestea RMS
FUL00217,PLT002,2024-03-27,Natural Gas,1081.42,4.5664,4938.17,Ghana National Gas Company,Takoradi RMS
FUL00218,PLT003,2024-03-27,Natural Gas,1628.73,3.8402,6254.61,Ghana National Gas Company,Prestea RMS
FUL00219,PLT004,2024-03-27,Natural Gas,1198.72,4.4787,5368.67,Ghana National Gas Company,Takoradi RMS
FUL00220,PLT005,2024-03-27,Natural Gas,1530.34,4.4411,6796.44,Ghana National Gas Company,Prestea RMS
FUL00221,PLT001,2024-03-29,Natural Gas,1868.12,4.5903,8575.26,Ghana National Gas Company,Prestea RMS
FUL00222,PLT002,2024-03-29,Natural Gas,1752.72,4.56,7992.46,Ghana National Gas Company,Takoradi RMS
FUL00223,PLT003,2024-03-29,Natural Gas,2226.28,4.2901,9551.01,Ghana National Gas Company,Prestea RMS
FUL00224,PLT004,2024-03-29,Natural Gas,1950.84,4.2038,8200.99,Ghana National Gas Company,Takoradi RMS
FUL00225,PLT005,2024-03-29,Natural Gas,2128.91,4.2383,9022.95,Ghana National Gas Company,Prestea RMS
FUL00226,PLT001,2024-03-31,Natural Gas,2235.53,4.3949,9824.99,Ghana National Gas Company,Prestea RMS
FUL00227,PLT002,2024-03-31,Natural Gas,1559.48,4.0074,6249.39,Ghana National Gas Company,Takoradi RMS
FUL00228,PLT003,2024-03-31,Natural Gas,1195.58,4.3101,5153.1,Ghana National Gas Company,Prestea RMS
FUL00229,PLT004,2024-03-31,Natural Gas,2025.3,4.217,8540.77,Ghana National Gas Company,Takoradi RMS
FUL00230,PLT005,2024-03-31,Natural Gas,1802.8,4.0197,7246.68,Ghana National Gas Company,Prestea RMS
FUL00231,PLT001,2024-04-02,Natural Gas,923.97,4.0286,3722.29,Ghana National Gas Company,Prestea RMS
FUL00232,PLT002,2024-04-02,Natural Gas,1234.74,4.0558,5007.82,Ghana National Gas Company,Takoradi RMS
FUL00233,PLT003,2024-04-02,Natural Gas,1664.24,3.9107,6508.34,Ghana National Gas Company,Prestea RMS
FUL00234,PLT004,2024-04-02,Natural Gas,1170.02,4.3552,5095.62,Ghana National Gas Company,Takoradi RMS
